finding	detail
*** THE ARCHIVE ALREADY HAD THIS DOCUMENT, AND THIS FILE NEARLY SAID OTHERWISE ***	The Church of the Immaculate Conception, Rosebank, replied to request 17 on 22 September 2026 with a scan of the ORIGINAL MARRIAGE REGISTER, form B.M.D. 3 (Union), entry no. 13 of 1940. THIS ARCHIVE RECONSTRUCTED THE SAME REGISTER PAGE ON 17 SEPTEMBER from 108 FamilySearch deep-zoom tiles — digital film 008161359, frame 475 — and has published it column by column on the DNA page ever since. The first draft of this file announced the occupation and the Roberts Heights address as new findings. THEY ARE NOT NEW. They have been on the site for five days, together with the banns, the antenuptial note, both witnesses, and the whole Union Defence Force argument that follows from them.
what the first draft got wrong, kept because the pattern is the point	It said "the FamilySearch index gave the date, the place and his age and nothing else — IT DID NOT GIVE THAT HE WAS A SOLDIER". The index did not; THE IMAGE BEHIND THE INDEX DID, and this archive had already opened it. The standing rule is to grep the site for the name before writing up any find, and the rule was not followed because a document arriving by email FEELS like a new document. IT IS THE ENVELOPE THAT WAS NEW, NOT THE CONTENTS.
# ---------------- SO WHAT IS ACTUALLY NEW ----------------
*** THE PARISH ANSWERED, AND THAT CHANNEL IS NOW OPEN ***	Row 26 had been BLOCKED on Rosebank since 15 September. They replied within a week, courteously, with a scan attached. A parish that answers is worth more than any single document, because the thing this archive actually wants is still in their building.
*** AND THEY SENT THE WRONG BOOK, WHICH IS NOT THEIR FAULT ***	The request asked for the SACRAMENTAL register because civil registers carry no parents. What came is the CIVIL form — the state's B.M.D. 3, which the priest completed because he was also the marriage officer. The distinction between the parish's own Liber Matrimoniorum and the government form the parish fills in is obvious to an archivist and not at all obvious from outside. THE SECOND LETTER MUST NAME THE BOOKS EXPLICITLY.
A CLEAN SCAN NOW EXISTS, AND THE SITE HAD NO PICTURE	Until today the archive held this register as a TABLE OF FIELDS rebuilt from tiles, with no image on any page. The parish's PDF is a single clean photograph of the whole opening. It is published at /wear-robertson-1940.png beside the table it corroborates — the first time a reader can see the document the argument rests on.
*** ONE DISCREPANCY, FLAGGED AND NOT SILENTLY FIXED ***	The DNA page gives the first witness as **MARY UNA ROBERTSON**. Read off the parish scan the same name looks like **MARY INA ROBERTSON**. U and I are not reliably distinguishable in this hand at this resolution, and TWO READINGS OF THE SAME WORD FROM TWO SCANS OF THE SAME PAGE IS NOT EVIDENCE OF ANYTHING EXCEPT THAT THE WORD IS HARD. Nothing has been changed on the strength of it. The second witness reads JAMES ROGERS in both.
what is unchanged and worth restating	Leonard: 23, born ENGLAND, bachelor, occupation ARMY, resident ROBERTS HEIGHTS, PRETORIA, married by banns, without antenuptial contract, signed L A R Wear. Phyllis: 25, born NATAL, spinster, shorthand typist, of 23 Derby Road, Judith Paarl. Solemnised 7 September 1940 by W. P. Whelan, "Catholic Priest". ALL OF IT ALREADY PUBLISHED.
# ---------------- WHAT IS STILL OWED ----------------
the sacramental register and the banns register	A Catholic parish of 1940 keeps a LIBER MATRIMONIORUM separate from the civil form, and it ordinarily names THE FATHER AND MOTHER OF BOTH PARTIES — the one column this archive wants and the one the civil form has never had. They married BY BANNS, so a banns entry exists as well, in a third book. Neither has been seen.
source	Church of the Immaculate Conception, 16 Keyes Avenue, Rosebank, Johannesburg, by email 22 September 2026, in reply to request 17 of 15 September. Compared against this archive's own reconstruction of the same page from FamilySearch film 008161359 frame 475, published on the DNA page since 17 September.
