finding	detail
WHAT WAS READ	The bride's half of Standesamt Schubin marriage akt nr 9 of 24 November 1874 — USC Szubin Miasto, sygn. 141, scan 10 — magnified at the image on 22 September 2026. The groom's half had been read earlier the same evening; this is the other side of the same page.
*** WHAT IS CERTAIN ***	FRIEDERICA SCHMUL, JÜDISCHER RELIGION, twenty-something years old, GEBOREN ZU SCHUBIN, WOHNHAFT ZU SCHUBIN. She was born in the town she married in and was living there on her wedding day. The surname SCHMUL appears again in her parentage line.
*** AND ONE THING ON THE PRINTED FORM THAT IS WORTH MORE THAN THE HANDWRITING ***	THE CLERK USED A DIFFERENT PREPOSITION FOR HER THAN FOR HIM. The groom's line is printed "SOHN DES" — son of the [masculine]. The bride's line is printed "TOCHTER DER". Both are printed, both are unambiguous, and they sit on the same page in the same hand.
what that asymmetry can mean, and the archive is NOT choosing between them	EITHER "Tochter der unverehelichten [name]" — daughter of an UNMARRIED woman, which is how a Prussian registrar records an illegitimate birth and would make SCHMUL HER MOTHER'S NAME WITH NO FATHER NAMED — OR "Tochter der Eheleute [X] und [Y]", daughter of the MARRIED COUPLE, which is an equally standard formula and takes "der" because Eheleute is plural. THE WORD AFTER "der" IS THE WHOLE QUESTION AND IT IS AT THE LIMIT OF LEGIBILITY IN THIS HAND. It was not settled and is not being guessed at.
*** WHAT COULD NOT BE READ, SAID PLAINLY ***	The forename or forenames in the bride's parentage line. A name resolving to something like "Margol" was read twice and is not trusted; the capital could be several letters in Kurrent and the archive has already been caught once today reading what it expected. NO PARENT OF FRIEDERICA SCHMUL IS BEING ENTERED INTO THIS ARCHIVE ON THE STRENGTH OF THIS READING.
# ---------------- AND A CORRECTION TO SOMETHING PUBLISHED AN HOUR EARLIER ----------------
*** "ONE HUNDRED AND NINETEEN SCHMUL SCANS" WAS TRUE AND MISLEADING ***	The portal does index SCHMUL 119 times across 104 units, against ONE for Leibholz, and that contrast is real. BUT FILTERED TO SZUBIN IT IS NOT 119 — IT IS TWO. One of the two is this very marriage. The other 117 are Schmuls elsewhere in Kuyavia-Pomerania with nothing yet connecting them to this family. The earlier note implied a rich Schubin Schmul archive waiting to be opened; THERE IS NO SUCH THING, and row 265 has been corrected rather than quietly left.
*** BUT THE SECOND OF THE TWO IS A REAL LEAD ***	ABRAHAM SCHMUL, BORN AT SZUBIN IN 1846, DIED AT KORONOWO IN 1904 — son of JULIUSZ SCHMUL and JETTE NÉE MUSCHILL. A Jewish Schmul born in the same small town about six to eight years before Friederica. HE IS NOT CLAIMED AS HER BROTHER: no document joins them, the index card is a volunteer transcription and not a register, and Schmul at Szubin may be several households. WHAT MAKES HIM WORTH KEEPING is that his card already names a father, a mother and a maiden name — so if he IS her brother, Friederica's parents are JULIUSZ SCHMUL and JETTE MUSCHILL, and the way to find out is her own birth entry in the Szubin books, which are online.
the trap that was avoided	Abraham's card names a MARRIED couple, which would fit "Tochter der Eheleute" and cut against the illegitimacy reading. THAT IS EXACTLY WHY IT MUST NOT BE USED TO DECIDE WHAT THE HANDWRITING SAYS. A hypothesis that makes a hard word suddenly legible is the oldest way to misread a document, and this archive has done it once already today.
source	Archiwum Państwowe w Bydgoszczy, USC Szubin Miasto, sygn. 141, akt małżeństwa nr 9/1874, scan 10, read at the image on www.genealogiawarchiwach.pl, 22 September 2026. Abraham Schmul from the portal's own person index, published 19 March 2023. Nothing downloaded, nothing purchased.
