finding	detail
*** THE CLAIM THIS CORRECTS IS THIS ARCHIVE'S OWN, MADE THE SAME EVENING ***	After reading the 1874 marriage this archive wrote that the next document was "FRIEDERICA'S OWN BIRTH ENTRY in the Szubin birth books, which are online and cover the 1850s." THAT IS WRONG, AND IT IS WRONG FOR A REASON THAT SHOULD HAVE BEEN CHECKED FIRST.
*** PRUSSIAN CIVIL REGISTRATION BEGAN ON 1 OCTOBER 1874 ***	There are no Standesamt books of any kind before that date, anywhere in Prussia. THE PROOF IS SITTING IN THE ARCHIVE'S OWN FIND: the whole 1874 marriage unit for USC Szubin Miasto is "Akta małżeństw nr 1-9" — NINE MARRIAGES FOR THE YEAR — because the office only existed for the last three months of it. Friederica was about twenty in November 1874, so she was born around 1852 and CANNOT HAVE A CIVIL BIRTH ENTRY. A Jewish birth of the 1850s could only ever be in the records of the Jewish religious community.
# ---------------- SO WHAT IS THERE FOR SZUBIN BEFORE 1874 ----------------
the test, and it was run with controls first	The portal's TEAM facet lists the archival fonds. Three probes: "Miasto" as a positive control, "Gmina" to find religious-community fonds, and "ydow" — the searchable stem of ŻYDOWSKA, Jewish — for the thing actually wanted.
CONTROL ONE — the facet answers	"Miasto" returns six registry offices: Bydgoszcz Miasto (31), Bydgoszcz Miasto II (2), Fordon Miasto (7), Koronowo-Miasto (13), Mrocza Miasto (26) and URZĄD STANU CYWILNEGO SZUBIN MIASTO (9656). The facet works and knows this town.
CONTROL TWO — religious fonds are in this portal and are findable	"Gmina" returns EXACTLY ONE: **EWANGELICKO-UNIJNA GMINA WYZNANIOWA W SZUBINIE — the Evangelical-Unionist religious community of Szubin, 286 units.** So church-community records for Szubin are digitised, catalogued and reachable. The instrument is not blind to this class of record.
*** AND THE ANSWER: "ydow" RETURNS NOTHING AT ALL ***	No fonds in this portal carries ŻYDOWSKA in its name. There is no Jewish religious community fonds for Szubin here, and none for anywhere else in the Kuyavia-Pomerania corpus either. SZUBIN'S PRE-1874 COVERAGE IN THIS PORTAL IS PROTESTANT AND NOTHING ELSE.
a second check from the other end	Filtering to town SZUBIN with the date facet set to 1852 returns NO REGISTER UNITS AT ALL — only two volunteer person-index cards, Adam Steinberg and Stanisław Kurdelski, both transcriptions rather than scanned books.
# ---------------- WHAT FOLLOWS ----------------
*** FRIEDERICA SCHMUL'S BIRTH CANNOT BE FOUND ON THIS PORTAL. *** 	Not because it has not been looked for, but because the record class does not exist here. The route this archive proposed a few hours ago is closed, and saying so is the point of writing it down.
what is NOT established	WHETHER THE SZUBIN JEWISH REGISTERS SURVIVE AT ALL. This is a statement about one portal's holdings, not about the world. Jewish community registers for Posen towns can sit unscanned at the state archive, at the Jewish Historical Institute in Warsaw, or in the JRI-Poland indexes, and some were destroyed. NONE OF THOSE HAS BEEN ASKED. The Bydgoszcz archive answered one letter in eight days and is the obvious place to ask a second time — it holds USC Szubin Miasto and would know what else it has for the town.
and the cheap thing that was NOT tried	Her age. The entry says she was about twenty in November 1874 and the reading of the exact number was not settled. If a Jewish register is ever found, the year it must be opened at depends on that number, and it can be read again off the same scan.
source	www.genealogiawarchiwach.pl, team facet probed 22 September 2026 with "Miasto", "Gmina" and "ydow"; town Szubin with date facet 1852. Nothing downloaded, nothing purchased, no account created.
