finding	detail
*** THE SZUBIN REGISTERS SURVIVE, AND THEY HAVE BEEN FREE ONLINE THE WHOLE TIME ***	Archiwum Państwowe w Bydgoszczy, letter IU.631.434.2026 of 22 September 2026, signed by the Director KAROLINA KAWCZYŃSKA, case officer dr MAŁGORZATA URBANOWSKA-CHYŁA, answering this archive's letter of 14 September. The digital copies of the BIRTH, MARRIAGE AND DEATH registers of URZĄD STANU CYWILNEGO SZUBIN MIASTO were, in the letter's own words, made available "some time ago" on www.genealogiawarchiwach.pl. The letter supplies a direct link to THE BIRTH REGISTER FOR 1884 and explains how to open the table of contents and download a scan. NO FEE, NO QUERY SERVICE, AND NO ACKNOWLEDGEMENT ASKED FOR.
why it matters more than any letter this archive has sent	JACOB LEIBHOLZ WAS BORN AT SCHUBIN ON 8 AUGUST 1884. A German birth register of 1884 names the child's FATHER AND MOTHER, with the father's trade and the family's address. THE ARCHIVE'S POSITION THAT THE SCHUBIN BRANCH IS A HAMMERSTEIN FAMILY THAT MOVED EAST CURRENTLY RESTS ON THE GEDENKBUCH ALONE, because Koszalin answered on 16 September that the Hammerstein civil registers for 1874-1899 and the Czarne synagogue books do not survive at all. THIS REGISTER IS THE DOCUMENT THAT CAN SETTLE IT, and it is a free download.
*** AND THE CONTRAST WITH THE OTHER LETTER IS THE LESSON ***	Two letters went out on 14 September. KOSZALIN answered in five lines that the Hammerstein books are gone and nobody knows where they went. BYDGOSZCZ answered that its books were scanned and published before the letter was ever written. THE ARCHIVE SPENT EIGHT DAYS WAITING FOR A DOCUMENT IT COULD HAVE OPENED ON THE FIRST DAY. The rule this earns: before writing to a Polish state archive, search genealogiawarchiwach.pl and szukajwarchiwach.gov.pl for the registry office by name. The letter is still worth sending — it is what produced the exact link — but it should be the second move and not the first.
# ---------------- WHAT THE PORTAL ACTUALLY HOLDS, CHECKED THE SAME DAY ----------------
the size of it	3,883,082 scans · 46,720 books · 564 registry offices · 2,132,073 scan details · 228,278 indexed persons. The scans are the whole corpus; THE 228,278 PERSONS ARE A HAND-BUILT INDEX OVER A FRACTION OF IT, contributed by volunteers. That distinction is the one that governs everything below.
*** ONE LEIBHOLZ IS INDEXED IN THE ENTIRE PORTAL, AND IT IS A MARRIAGE AT SZUBIN ***	A name search returns EXACTLY ONE scan: archive unit 6/1792/0/2.2/141, unit title "AKTA MAŁŻEŃSTW — PIERWOPIS NR 1-9" (marriage records, original copy, numbers 1 to 9), PAGE 10, team URZĄD STANU CYWILNEGO SZUBIN MIASTO, series Akta stanu cywilnego - pierwopisy, held at Archiwum Państwowe w Bydgoszczy, town Szubin, voivodeship kujawsko-pomorskie.
what that is almost certainly, and why the archive is not yet saying so	SALLY (SALOMON) LEIBHOLZ MARRIED FRIEDERIKE SCHMUL AT SZUBIN ON 24 NOVEMBER 1874 — a fact this archive has held for days from the family record and has NEVER SEEN A DOCUMENT FOR. A unit of nine marriages is a single year of a small office, and a German marriage entry NAMES THE PARENTS OF BOTH PARTIES. If it is that marriage, the page names Jacob's grandparents on both sides. *** IT IS NOT CLAIMED UNTIL THE PAGE IS READ: *** the index entry gives a surname and a page and no forename, no date and no year, and Leibholz is not a unique name even in Szubin.
*** AND THE 1884 BIRTH REGISTER IS NOT INDEXED AT ALL ***	The single Leibholz hit is the marriage. No birth, no death. So Jacob's entry CANNOT BE FOUND BY SEARCHING — the register has to be paged through at the image, the same way the Berlin death indexes were. That is the job, and it is a small one by this archive's standards: one year of one small-town office.
# ---------------- THE INSTRUMENT, AND IT IS AWKWARD ----------------
what works	The default "everywhere" scan search from a freshly loaded page. That is what returned the Leibholz marriage.
what does not	THE DIRECTOR'S OWN DEEP LINK BOOTS TO A BLANK PAGE — the modal=295772888 parameter appears to run before the application is ready. Switching the search mode to "units" or "indexes (scans)" updates the URL but renders no results. The scan viewer opens through a POPUP WINDOW, which a browser pane blocks, and the portal exposes no scan id in the DOM to reach the image another way. The application also blanked the tab outright on one reload.
so how the register will actually be read	Either in a browser where the popup is allowed and the user can watch, or by finding the scan's own id and addressing the viewer directly. NOTHING WAS DOWNLOADED AND NOTHING WAS PURCHASED; the portal is free and no account was created.
source	Archiwum Państwowe w Bydgoszczy, letter IU.631.434.2026 of 22 September 2026, read as the PDF attached to the reply. Portal facts from www.genealogiawarchiwach.pl, searched the same day.
