finding	detail
*** TROVE ANSWERED, AFTER REFUSING THIS BROWSER TWICE ***	Attempted 20 and 21 September and it hung on "Loading..." both times, with its own configuration endpoint replying "No API key found in request". ON 22 SEPTEMBER IT SIMPLY WORKED. The search ran, the results rendered, and the only obstacle was a CULTURAL ADVICE notice overlaying the page, which was closed rather than dismissed permanently — setting a lasting preference on somebody else's browser is not this archive's to do.
*** AND IT CORRECTS THIS ROW'S OWN PREMISE, WHICH IS THE USEFUL PART ***	Row 212 said: "copyright closes Australian newspapers at 1954 and this family landed in 1965, so the newspapers cannot hold them. THE GAZETTES CAN." THAT IS WRONG FOR THE ONE PAPER THAT MATTERS. The Canberra Times is digitised 1926 to 1995 — an exception to the 1954 wall — and every Luwinski result Trove returns is a Canberra Times article from AFTER 1954. The instrument this archive had written off for the post-war period is the instrument that answered.
what the search returns	LUWINSKI returns NINE results in Newspapers & Gazettes, and nothing in Books, Diaries or Research. The three shown in the preview are all Canberra Times: a FAMILY NOTICE of 11 January 1973, an article of 11 January 1971, and one of 6 March 1987.
*** AND ALL THREE ARE WITHHELD, WHICH IS THE WHOLE POINT OF HAVING A RULE ***	They concern a Canberra household of this surname in the 1970s and 1980s, and AT LEAST ONE NAMES A PERSON WHO IS LIVING AND WHOM THIS ARCHIVE IS UNDER STANDING INSTRUCTION NEVER TO NAME. One of them is a court report. NOTHING FROM THESE THREE ITEMS IS PUBLISHED HERE — not the names, not the address, not the substance — and the detail sits in the private notes only. The living-persons guard was run against the built site as a check on this archive rather than on the data: nine guarded names, none present.
and the remaining six have not been opened	The preview shows three of nine. The other six were not read, because the three that were read establish that this result set is about living people and the archive has no business paging through the rest for its own curiosity. THEY WILL BE OPENED ONLY IF A DEAD PERSON IS BEING LOOKED FOR.
# ---------------- THE RYERSON INDEX, FOURTEEN REFUSALS AND A REAL ANSWER ----------------
the endpoint is still refusing	"Server Overloaded" again on 22 September, four more times, making about fourteen across three days. NOTHING HAS BEEN SEARCHED AND NOTHING IS RULED OUT.
*** BUT THE DIAGNOSIS IS NOW EXACT, AND IT IS NOT A DEAD SITE ***	THE REST OF ryersonindex.org SERVES PERFECTLY. The home page, the coverage tables and the per-newspaper detail pages all load in full. IT IS search.php ALONE THAT REFUSES. So this is a search endpoint under load or under a throttle, not an archive that has gone away, and the route is worth retrying rather than abandoning.
*** AND THE COVERAGE QUESTION WAS ANSWERED WITHOUT SEARCHING ***	The thing actually worth knowing is whether the index reaches Manfred at all, and it does, precisely. BRISBANE COURIER MAIL: indexed continuously from 28 August 1933 to the present day, six days a week, 377,328 records, last updated 19 September 2026. Within that: DEATH NOTICES from 22 February 1943 to 19 September 2026, 92,248 of them; FUNERAL NOTICES over the same span, 247,302. Manfred died at Brisbane on 20 SEPTEMBER 2012, which sits in the middle of both series.
so the row's state is now sharp	The instrument covers the target newspaper, the target year and the target notice type — and the funeral-notice series is the one this archive wants, because a funeral notice names the survivors. THE ONLY THING IN THE WAY IS A SEARCH BOX THAT WILL NOT ANSWER. That is a much better position than "the server was down", and it means the retry is worth making rather than the route being written off.
source	trove.nla.gov.au and ryersonindex.org, both 22 September 2026. Nothing downloaded, no account created, no preference set on the user's browser.
